0,1,2,3,4,5
547.0,382.0,45.0,52.0,4898.0,10678.0
220.0,381.0,210.0,276.0,3022.0,7703.0
238.0,571.0,72.0,109.0,3885.0,277.0
237.0,110.0,67.0,207.0,3669.0,4819.0
232.0,496.0,42.0,106.0,4712.0,4393.0
238.0,489.0,74.0,226.0,5045.0,3709.0
155.0,80.0,46.0,32.0,1368.0,10736.0
220.0,172.0,56.0,120.0,838.0,4552.0
41.0,197.0,180.0,107.0,2112.0,1187.0
231.0,271.0,109.0,24.0,1275.0,2095.0
194.0,120.0,28.0,13.0,2939.0,5876.0
138.0,196.0,99.0,105.0,2316.0,996.0
100.0,32.0,30.0,65.0,86.0,8337.0
206.0,293.0,45.0,72.0,2844.0,8299.0
133.0,308.0,115.0,132.0,2073.0,6547.0
810.0,262.0,138.0,102.0,2249.0,1504.0
218.0,340.0,119.0,34.0,2468.0,894.0
112.0,92.0,143.0,64.0,5127.0,603.0
195.0,131.0,15.0,212.0,1490.0,24311.0
70.0,197.0,129.0,71.0,1145.0,4881.0
390.0,290.0,113.0,96.0,157.0,10474.0
75.0,3.0,33.0,157.0,1414.0,17470.0
57.0,300.0,144.0,229.0,981.0,9338.0
232.0,80.0,107.0,64.0,2270.0,1784.0
120.0,59.0,7.0,28.0,1164.0,6181.0
394.0,144.0,75.0,91.0,1462.0,806.0
203.0,259.0,96.0,221.0,2719.0,1931.0
256.0,120.0,40.0,56.0,845.0,461.0
120.0,267.0,116.0,81.0,2210.0,8034.0
223.0,142.0,114.0,53.0,2359.0,9536.0
197.0,259.0,67.0,57.0,414.0,11155.0
114.0,259.0,55.0,112.0,3156.0,6537.0
375.0,34.0,84.0,51.0,4485.0,18089.0
21.0,302.0,38.0,32.0,4841.0,145.0
375.0,128.0,125.0,104.0,5361.0,2231.0
307.0,220.0,52.0,88.0,5723.0,6597.0
504.0,222.0,89.0,54.0,4996.0,4100.0
236.0,294.0,61.0,100.0,4555.0,14707.0
375.0,134.0,109.0,164.0,5234.0,8776.0
887.0,136.0,190.0,48.0,4864.0,13394.0
240.0,74.0,291.0,196.0,2113.0,3152.0
328.0,158.0,124.0,72.0,3091.0,7627.0
129.0,244.0,211.0,204.0,5075.0,5205.0
159.0,96.0,46.0,138.0,4611.0,245.0
78.0,233.0,108.0,118.0,4254.0,321.0
206.0,381.0,80.0,254.0,1240.0,1183.0
429.0,210.0,20.0,223.0,4843.0,1175.0
90.0,255.0,50.0,46.0,2051.0,4942.0
171.0,99.0,58.0,74.0,826.0,3152.0
181.0,87.0,83.0,18.0,4914.0,2580.0
244.0,449.0,112.0,105.0,4749.0,15002.0
285.0,476.0,35.0,160.0,4823.0,2368.0
198.0,81.0,60.0,105.0,3057.0,3240.0
143.0,380.0,44.0,234.0,5161.0,1903.0
358.0,328.0,50.0,147.0,5555.0,1274.0
74.0,264.0,100.0,64.0,1071.0,6241.0
160.0,149.0,163.0,27.0,4042.0,1849.0
123.0,240.0,92.0,177.0,5710.0,3211.0
442.0,277.0,71.0,100.0,3517.0,3061.0
152.0,171.0,43.0,107.0,3405.0,8153.0
220.0,80.0,82.0,82.0,2293.0,16129.0
153.0,277.0,55.0,344.0,5402.0,4845.0
275.0,539.0,56.0,155.0,193.0,2689.0
194.0,262.0,88.0,95.0,4581.0,2017.0
587.0,238.0,104.0,107.0,4460.0,1931.0
288.0,330.0,42.0,207.0,4929.0,1961.0
235.0,463.0,58.0,112.0,2539.0,143.0
306.0,168.0,37.0,61.0,4758.0,1792.0
809.0,167.0,27.0,98.0,3632.0,2967.0
286.0,62.0,86.0,118.0,419.0,10982.0
45.0,54.0,19.0,75.0,247.0,3529.0
254.0,297.0,181.0,168.0,1708.0,2110.0
273.0,170.0,91.0,77.0,1113.0,2549.0
510.0,164.0,198.0,206.0,4446.0,13754.0
208.0,169.0,108.0,106.0,1518.0,8110.0
797.0,290.0,90.0,82.0,2397.0,2196.0
129.0,379.0,151.0,358.0,2835.0,3471.0
292.0,53.0,71.0,234.0,1870.0,15467.0
614.0,83.0,94.0,127.0,1180.0,4953.0
107.0,146.0,61.0,64.0,1458.0,3477.0
271.0,364.0,159.0,364.0,4803.0,6053.0
217.0,340.0,180.0,93.0,1650.0,1248.0
349.0,214.0,141.0,116.0,4807.0,26717.0
109.0,108.0,136.0,94.0,624.0,2591.0
131.0,43.0,27.0,15.0,5109.0,5064.0
225.0,326.0,91.0,39.0,5463.0,14934.0
279.0,182.0,98.0,186.0,4272.0,7509.0
134.0,101.0,49.0,59.0,505.0,3645.0
196.0,88.0,125.0,119.0,5131.0,3152.0
218.0,154.0,110.0,66.0,3570.0,4331.0
239.0,345.0,71.0,191.0,5481.0,865.0
64.0,390.0,68.0,39.0,1835.0,4420.0
272.0,190.0,49.0,140.0,1074.0,16220.0
167.0,220.0,101.0,235.0,2262.0,14055.0
224.0,248.0,135.0,71.0,2213.0,2212.0
101.0,159.0,139.0,269.0,1287.0,2897.0
19.0,86.0,57.0,48.0,1601.0,536.0
118.0,300.0,67.0,58.0,5343.0,846.0
110.0,262.0,55.0,160.0,4403.0,6217.0
175.0,165.0,19.0,95.0,1575.0,8427.0
